location,bhk,total_sqft,bath,price_lakh,house_type,building_status,city,price_per_sqft
Thurahalli,5 Bedroom,1200.0,5.0,195.0,Apartment,,Bengaluru,
Hulimavu,3 BHK,1818.0,3.0,135.0,Apartment,,Bengaluru,
Volagerekallahalli,2 BHK,1070.0,2.0,33.0,Apartment,,Bengaluru,
Rajaji Nagar,3 BHK,1640.0,3.0,241.0,Apartment,,Bengaluru,
Nagarbhavi,3 BHK,1350.0,2.0,54.6,Apartment,,Bengaluru,
Chandapura,2 BHK,630.0,1.0,27.0,Apartment,,Bengaluru,
Hoodi,2 BHK,1430.0,2.0,113.0,Apartment,,Bengaluru,
Nagavara,3 BHK,2430.0,4.0,180.0,Apartment,,Bengaluru,
Nobo Nagar,6 Bedroom,1500.0,7.0,220.0,Apartment,,Bengaluru,
Sarjapur  Road,2 BHK,1084.0,2.0,55.0,Apartment,,Bengaluru,
Hennur Road,3 BHK,1186.0,2.0,56.0,Apartment,,Bengaluru,
Kengeri,2 BHK,1255.0,2.0,50.0,Apartment,,Bengaluru,
Haralur Road,4 BHK,3400.0,5.0,240.0,Apartment,,Bengaluru,
Hosa Road,3 BHK,1541.0,3.0,69.84,Apartment,,Bengaluru,
Iblur Village,4 BHK,3596.0,5.0,282.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,70.0,Apartment,,Bengaluru,
Kasavanhalli,3 Bedroom,1000.0,4.0,110.0,Apartment,,Bengaluru,
Sanjeevini Nagar,3 BHK,2820.0,3.0,285.0,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1370.0,2.0,54.79,Apartment,,Bengaluru,
Electronic City,2 BHK,1100.0,2.0,40.0,Apartment,,Bengaluru,
Hebbal,4 BHK,4772.0,6.0,510.0,Apartment,,Bengaluru,
Rajaji Nagar,2 BHK,1370.0,2.0,170.0,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1370.0,2.0,54.79,Apartment,,Bengaluru,
JP Nagar,2 BHK,1200.0,2.0,62.0,Apartment,,Bengaluru,
Gunjur,4 Bedroom,2000.0,3.0,95.0,Apartment,,Bengaluru,
9th Phase JP Nagar,4 BHK,3500.0,4.0,300.0,Apartment,,Bengaluru,
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,Apartment,,Bengaluru,
Kengeri,4 Bedroom,2400.0,5.0,253.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1220.0,3.0,62.0,Apartment,,Bengaluru,
Kanakapura Road,3 Bedroom,1950.0,3.0,130.0,Apartment,,Bengaluru,
Somasundara Palya,2 BHK,1178.0,2.0,73.0,Apartment,,Bengaluru,
Dasanapura,3 BHK,1286.0,3.0,61.44,Apartment,,Bengaluru,
Begur Road,2 BHK,1160.0,2.0,42.0,Apartment,,Bengaluru,
Jigani,2 BHK,918.0,2.0,55.0,Apartment,,Bengaluru,
Electronic City,3 BHK,1563.0,3.0,91.84,Apartment,,Bengaluru,
Govindpura,2 BHK,1326.0,2.0,62.17,Apartment,,Bengaluru,
3rd Block Jayanagar,3 BHK,1350.0,2.0,140.0,Apartment,,Bengaluru,
Hebbal,4 BHK,3960.0,5.0,386.0,Apartment,,Bengaluru,
Begur Road,2 BHK,1240.0,2.0,39.06,Apartment,,Bengaluru,
Kaggadasapura,2 BHK,1325.0,2.0,50.0,Apartment,,Bengaluru,
Sonnenahalli,2 BHK,1100.0,2.0,44.0,Apartment,,Bengaluru,
Cunningham Road,3 BHK,3875.0,3.0,800.0,Apartment,,Bengaluru,
Gollarapalya Hosahalli,3 BHK,1605.0,3.0,50.0,Apartment,,Bengaluru,
Hennur Road,5 BHK,5600.0,5.0,515.0,Apartment,,Bengaluru,
Somasundara Palya,2 BHK,1260.0,2.0,60.0,Apartment,,Bengaluru,
Hoodi,3 BHK,1553.0,3.0,83.09,Apartment,,Bengaluru,
Whitefield,2 BHK,1280.0,2.0,52.0,Apartment,,Bengaluru,
Hebbal,3 BHK,1550.0,2.0,75.0,Apartment,,Bengaluru,
Arekere,3 BHK,1445.0,2.0,125.0,Apartment,,Bengaluru,
Murugeshpalya,3 BHK,1550.0,3.0,74.0,Apartment,,Bengaluru,
Electronics City Phase 1,3 BHK,1515.0,2.0,80.91,Apartment,,Bengaluru,
Hosa Road,3 BHK,1332.0,2.0,86.12,Apartment,,Bengaluru,
Electronic City,3 BHK,1652.0,3.0,70.0,Apartment,,Bengaluru,
Hegde Nagar,3 BHK,1570.0,3.0,105.0,Apartment,,Bengaluru,
Sarjapur  Road,4 Bedroom,5400.0,4.0,725.0,Apartment,,Bengaluru,
Sector 2 HSR Layout,1 BHK,794.0,1.0,60.0,Apartment,,Bengaluru,
Seegehalli,3 Bedroom,1200.0,2.0,62.0,Apartment,,Bengaluru,
7th Phase JP Nagar,4 Bedroom,3600.0,3.0,410.0,Apartment,,Bengaluru,
Hosakerehalli,3 Bedroom,1200.0,3.0,175.0,Apartment,,Bengaluru,
JP Nagar,4 BHK,1650.0,3.0,220.0,Apartment,,Bengaluru,
Chandra Layout,4 Bedroom,600.0,2.0,85.0,Apartment,,Bengaluru,
HRBR Layout,3 BHK,2800.0,3.0,250.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1750.0,3.0,110.0,Apartment,,Bengaluru,
Hebbal,2 BHK,1053.0,2.0,48.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1100.0,3.0,53.0,Apartment,,Bengaluru,
Kadubeesanahalli,3 BHK,1665.0,3.0,70.0,Apartment,,Bengaluru,
Outer Ring Road East,4 Bedroom,4051.0,4.0,345.0,Apartment,,Bengaluru,
Malleshwaram,4 Bedroom,5500.0,5.0,1500.0,Apartment,,Bengaluru,
Bommasandra,3 BHK,1447.0,3.0,80.0,Apartment,,Bengaluru,
Balagere,2 BHK,1012.0,2.0,75.0,Apartment,,Bengaluru,
Malleshpalya,3 BHK,1900.0,3.0,60.0,Apartment,,Bengaluru,
Narayanapura,2 BHK,1308.0,2.0,92.66,Apartment,,Bengaluru,
Green Glen Layout,4 BHK,3250.0,4.0,230.0,Apartment,,Bengaluru,
Hormavu,1 BHK,1351.0,2.0,53.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1000.0,2.0,22.0,Apartment,,Bengaluru,
J P Nagar 7th Phase Ramayya City,4 Bedroom,1200.0,4.0,350.0,Apartment,,Bengaluru,
Gunjur,2 BHK,1140.0,2.0,49.11,Apartment,,Bengaluru,
Jakkur,4 BHK,,4.0,260.5,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1250.0,2.0,55.0,Apartment,,Bengaluru,
Kanakapura,3 BHK,1290.0,3.0,45.15,Apartment,,Bengaluru,
Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,Apartment,,Bengaluru,
Garudachar Palya,3 BHK,1320.0,2.0,60.6,Apartment,,Bengaluru,
Akshaya Nagar,3 BHK,1662.0,3.0,85.5,Apartment,,Bengaluru,
Shanthala Nagar,5 BHK,8321.0,5.0,2700.0,Apartment,,Bengaluru,
Begur Road,2 BHK,1200.0,2.0,45.0,Apartment,,Bengaluru,
Koramangala,3 BHK,1975.0,3.0,210.0,Apartment,,Bengaluru,
Garudachar Palya,3 BHK,1295.0,2.0,59.5,Apartment,,Bengaluru,
Battarahalli,3 BHK,1777.0,3.0,100.0,Apartment,,Bengaluru,
Kadugodi,3 BHK,1900.0,3.0,108.0,Apartment,,Bengaluru,
Anandapura,3 BHK,1576.0,3.0,59.1,Apartment,,Bengaluru,
Sompura,2 BHK,1020.0,2.0,41.0,Apartment,,Bengaluru,
Green Domain Layout,3 BHK,2100.0,3.0,170.0,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,1 BHK,648.0,1.0,31.75,Apartment,,Bengaluru,
Neeladri Nagar,3 BHK,1167.0,2.0,38.0,Apartment,,Bengaluru,
Vyalikaval,7 Bedroom,1000.0,7.0,160.0,Apartment,,Bengaluru,
Hoodi,2 BHK,1220.0,2.0,50.89,Apartment,,Bengaluru,
Kogilu,3 BHK,2350.0,5.0,327.0,Apartment,,Bengaluru,
Vittasandra,2 BHK,1259.0,2.0,67.4,Apartment,,Bengaluru,
Gottigere,4 Bedroom,2000.0,4.0,82.0,Apartment,,Bengaluru,
8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,Apartment,,Bengaluru,
Cleveland Town,3 BHK,1991.0,3.0,160.0,Apartment,,Bengaluru,
Bannerghatta,3 BHK,1665.0,3.0,110.0,Apartment,,Bengaluru,
"Hoodi Circle, ",2 BHK,1234.0,2.0,61.0,Apartment,,Bengaluru,
Mysore Road,3 BHK,1340.0,2.0,64.31,Apartment,,Bengaluru,
Banashankari,2 BHK,1170.0,2.0,46.79,Apartment,,Bengaluru,
Electronics City Phase 1,2 BHK,995.0,2.0,46.0,Apartment,,Bengaluru,
Old Airport Road,2 BHK,1075.0,2.0,60.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1025.0,2.0,54.5,Apartment,,Bengaluru,
Rachenahalli,3 BHK,2721.0,3.0,113.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,2000.0,3.0,99.0,Apartment,,Bengaluru,
Whitefield,4 BHK,2500.0,4.0,155.0,Apartment,,Bengaluru,
Mallasandra,2 BHK,1325.0,2.0,70.0,Apartment,,Bengaluru,
Kadugodi,2 BHK,1314.0,2.0,68.2,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,2265.0,3.0,136.0,Apartment,,Bengaluru,
7th Phase JP Nagar,7 Bedroom,4800.0,7.0,170.0,Apartment,,Bengaluru,
Yelahanka,2 BHK,1026.0,2.0,41.0,Apartment,,Bengaluru,
Syndicate Bank Colony,3 BHK,1200.0,3.0,66.0,Apartment,,Bengaluru,
Kada Agrahara,3 BHK,2220.0,4.0,65.0,Apartment,,Bengaluru,
KR Puram,2 BHK,10701315.0,2.0,51.22,Apartment,,Bengaluru,
Hebbal,2 BHK,1420.0,2.0,99.39,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1888.0,4.0,95.0,Apartment,,Bengaluru,
JP Nagar,2 BHK,1300.0,2.0,90.87,Apartment,,Bengaluru,
Rajaji Nagar,2 BHK,1216.0,2.0,97.16,Apartment,,Bengaluru,
"Off Sarjapur road, ",4 Bedroom,3000.0,4.0,342.0,Apartment,,Bengaluru,
Begur,3 BHK,1559.0,3.0,63.0,Apartment,,Bengaluru,
Harlur,2 BHK,1290.0,2.0,87.0,Apartment,,Bengaluru,
M C Layout,6 Bedroom,2400.0,6.0,245.0,Apartment,,Bengaluru,
Whitefield,1 BHK,905.0,1.0,55.0,Apartment,,Bengaluru,
Nanjappa Layout,2 BHK,1069.0,2.0,55.0,Apartment,,Bengaluru,
Sarjapura - Attibele Road,2 BHK,829.0,2.0,22.8,Apartment,,Bengaluru,
Koramangala,2 BHK,1900.0,2.0,200.0,Apartment,,Bengaluru,
Dodda Banaswadi,5 Bedroom,3040.0,5.0,140.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1300.0,3.0,60.0,Apartment,,Bengaluru,
Channasandra,2 BHK,1115.0,2.0,33.45,Apartment,,Bengaluru,
Rajaji Nagar,3 BHK,2409.0,3.0,360.0,Apartment,,Bengaluru,
Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,Apartment,,Bengaluru,
Marathahalli,3 BHK,1305.0,2.0,69.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,1252.0,2.0,56.32,Apartment,,Bengaluru,
Hosakerehalli,5 Bedroom,2400.0,5.0,250.0,Apartment,,Bengaluru,
Whitefield,2 Bedroom,1200.0,2.0,46.13,Apartment,,Bengaluru,
Koramangala,3 BHK,1750.0,3.0,130.0,Apartment,,Bengaluru,
Electronic City Phase II,2 BHK,545.0,1.0,35.0,Apartment,,Bengaluru,
BEL Layout,2 Bedroom,1375.0,2.0,105.0,Apartment,,Bengaluru,
Subramanyapura,2 BHK,1313.0,2.0,66.5,Apartment,,Bengaluru,
Attibele,4 Bedroom,3640.0,4.0,275.0,Apartment,,Bengaluru,
Akshayanagara East,3 BHK,1693.0,3.0,108.0,Apartment,,Bengaluru,
JCR Layout,2 BHK,1160.0,2.0,41.75,Apartment,,Bengaluru,
Sri Kanteshwara Nagar,3 Bedroom,1200.0,3.0,200.0,Apartment,,Bengaluru,
Subramanyapura,3 BHK,1255.0,2.0,79.0,Apartment,,Bengaluru,
KR Puram,4 Bedroom,1000.0,4.0,75.0,Apartment,,Bengaluru,
Bellari Road,2 BHK,900.0,2.0,45.0,Apartment,,Bengaluru,
Yelahanka New Town,3 BHK,1700.0,3.0,90.0,Apartment,,Bengaluru,
Indira Nagar,3 BHK,1875.0,3.0,180.0,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1700.0,3.0,88.0,Apartment,,Bengaluru,
Harlur,3 BHK,1749.0,3.0,115.0,Apartment,,Bengaluru,
Dasanapura,2 Bedroom,1500.0,3.0,65.0,Apartment,,Bengaluru,
Varanasi,2 BHK,1175.0,2.0,48.0,Apartment,,Bengaluru,
Akshaya Nagar,2 BHK,1280.0,2.0,60.0,Apartment,,Bengaluru,
Abbaiah Reddy Layout,2 BHK,1200.0,2.0,50.0,Apartment,,Bengaluru,
Ramagondanahalli,3 BHK,1610.0,2.0,115.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1070.0,2.0,46.0,Apartment,,Bengaluru,
TC Palaya,2 Bedroom,1200.0,2.0,66.0,Apartment,,Bengaluru,
9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,Apartment,,Bengaluru,
Indira Nagar,2 BHK,1210.0,2.0,102.0,Apartment,,Bengaluru,
Jyothi Nagar,2 BHK,600.0,2.0,23.0,Apartment,,Bengaluru,
Thigalarapalya,4 BHK,4190.0,4.0,380.0,Apartment,,Bengaluru,
Tata Nagar,2 BHK,1364.0,2.0,70.0,Apartment,,Bengaluru,
Whitefield,4 BHK,2268.0,3.0,146.0,Apartment,,Bengaluru,
RK Layout 2nd Stage,3 BHK,1150.0,2.0,77.5,Apartment,,Bengaluru,
Tirumanahalli,2 BHK,1146.0,2.0,39.5,Apartment,,Bengaluru,
Magadi Road,2 BHK,1345.0,2.0,55.0,Apartment,,Bengaluru,
Mylasandra,2 BHK,1110.0,2.0,41.0,Apartment,,Bengaluru,
Kengeri,2 BHK,750.0,2.0,36.0,Apartment,,Bengaluru,
Motappa Layout,2 BHK,1156.0,2.0,49.5,Apartment,,Bengaluru,
Pattandur Agrahara,2 BHK,1247.0,2.0,59.8,Apartment,,Bengaluru,
Mangammanapalya,2 BHK,1058.0,2.0,60.0,Apartment,,Bengaluru,
Kaggalipura,2 BHK,950.0,2.0,48.0,Apartment,,Bengaluru,
Vasanthapura,2 BHK,420.0,2.0,35.0,Apartment,,Bengaluru,
BTM 1st Stage,4 Bedroom,600.0,2.0,90.0,Apartment,,Bengaluru,
Vijayanagar,3 BHK,1520.0,2.0,103.0,Apartment,,Bengaluru,
Marathahalli,2 BHK,1215.0,2.0,58.86,Apartment,,Bengaluru,
Raghuvanahalli,1 BHK,900.0,1.0,30.0,Apartment,,Bengaluru,
Hennur Road,3 BHK,2350.0,3.0,174.0,Apartment,,Bengaluru,
Thanisandra,2 BHK,1050.0,2.0,46.0,Apartment,,Bengaluru,
 Devarabeesana Halli,3 BHK,1672.0,3.0,150.0,Apartment,,Bengaluru,
Laggere,5 Bedroom,2800.0,5.0,125.0,Apartment,,Bengaluru,
MCECHS  layout,3 BHK,1500.0,2.0,65.0,Apartment,,Bengaluru,
Geddalahalli,2 BHK,1400.0,2.0,65.0,Apartment,,Bengaluru,
Whitefield,4 Bedroom,500.0,4.0,378.0,Apartment,,Bengaluru,
8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,Apartment,,Bengaluru,
Bommasandra,2 BHK,920.0,2.0,37.46,Apartment,,Bengaluru,
Sarjapur  Road,3 Bedroom,1200.0,3.0,70.0,Apartment,,Bengaluru,
Brindavan Nagar,3 BHK,1250.0,3.0,139.0,Apartment,,Bengaluru,
Hosakerehalli,3 BHK,1817.0,4.0,153.0,Apartment,,Bengaluru,
Cooke Town,5 Bedroom,2043.0,6.0,375.0,Apartment,,Bengaluru,
HSR Layout,2 BHK,1140.0,2.0,46.0,Apartment,,Bengaluru,
Yelahanka,4 Bedroom,4346.0,4.0,450.0,Apartment,,Bengaluru,
Haralur Road,2 BHK,1464.0,2.0,56.0,Apartment,,Bengaluru,
Ambedkar Colony,2 BHK,1468.0,3.0,130.0,Apartment,,Bengaluru,
Electronics City Phase 1,3 BHK,1555.0,2.0,82.0,Apartment,,Bengaluru,
Munnekollal,6 Bedroom,1200.0,4.0,110.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1150.0,2.0,55.0,Apartment,,Bengaluru,
Kadubeesanahalli,2 BHK,970.0,2.0,35.0,Apartment,,Bengaluru,
Banashankari,4 BHK,2500.0,4.0,95.0,Apartment,,Bengaluru,
Seetharampalya,2 BHK,1166.0,2.0,53.0,Apartment,,Bengaluru,
Konanakunte,3 Bedroom,2779.0,3.0,317.0,Apartment,,Bengaluru,
Electronic City,3 BHK,1350.0,3.0,58.0,Apartment,,Bengaluru,
Mariyannapalya,2 BHK,900.0,2.0,46.0,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1300.0,2.0,52.0,Apartment,,Bengaluru,
Kanaka Nagar,3 BHK,1190.0,3.0,55.0,Apartment,,Bengaluru,
Kodichikkanahalli,3 BHK,1495.0,2.0,75.0,Apartment,,Bengaluru,
Indira Nagar,2 BHK,1224.0,2.0,105.0,Apartment,,Bengaluru,
Banashankari Stage III,3 BHK,1350.0,2.0,68.0,Apartment,,Bengaluru,
Green Glen Layout,2 BHK,940.0,2.0,56.8,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,55.0,Apartment,,Bengaluru,
Kaikondrahalli,2 BHK,1300.0,2.0,61.0,Apartment,,Bengaluru,
Palace Road,3 BHK,1480.0,2.0,145.0,Apartment,,Bengaluru,
Hoodi,2 BHK,1105.0,2.0,46.37,Apartment,,Bengaluru,
Sarjapur  Road,3 Bedroom,2600.0,3.0,200.0,Apartment,,Bengaluru,
Yelahanka,3 BHK,1517.0,3.0,76.3,Apartment,,Bengaluru,
Horamavu Banaswadi,6 Bedroom,3800.0,8.0,200.0,Apartment,,Bengaluru,
Jalahalli,3 BHK,1615.0,3.0,89.75,Apartment,,Bengaluru,
MCECHS  layout,3 BHK,1500.0,3.0,65.0,Apartment,,Bengaluru,
Mysore Road,3 BHK,1082.0,3.0,50.5,Apartment,,Bengaluru,
Marathahalli,2 BHK,1365.0,2.0,73.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1000.0,2.0,25.0,Apartment,,Bengaluru,
CV Raman Nagar,2 BHK,1392.0,2.0,98.0,Apartment,,Bengaluru,
Kodigehalli,2 BHK,1086.0,2.0,33.66,Apartment,,Bengaluru,
Hennur Road,3 BHK,1586.0,3.0,93.94,Apartment,,Bengaluru,
Hennur,2 BHK,1100.0,2.0,60.0,Apartment,,Bengaluru,
Electronic City Phase II,2 BHK,1065.0,2.0,30.75,Apartment,,Bengaluru,
TC Palaya,3 Bedroom,1500.0,2.0,120.0,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,Apartment,,Bengaluru,
Hennur Road,3 BHK,1975.0,3.0,123.0,Apartment,,Bengaluru,
Nelamangala,2 BHK,820.0,2.0,24.0,Apartment,,Bengaluru,
Gubbalala,3 BHK,1745.0,3.0,110.0,Apartment,,Bengaluru,
Nagarbhavi,2 BHK,1223.0,2.0,60.0,Apartment,,Bengaluru,
Ananth Nagar,3 BHK,1200.0,2.0,65.0,Apartment,,Bengaluru,
Basaveshwara Nagar,2 BHK,1200.0,2.0,90.0,Apartment,,Bengaluru,
Binny Pete,1 BHK,665.0,1.0,46.08,Apartment,,Bengaluru,
Bharathi Nagar,2 BHK,1351.0,2.0,70.0,Apartment,,Bengaluru,
Hebbal,3 BHK,1355.0,3.0,83.87,Apartment,,Bengaluru,
Sector 7 HSR Layout,3 BHK,3900.0,3.0,300.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,1588.0,3.0,75.55,Apartment,,Bengaluru,
Amruthahalli,2 BHK,900.0,2.0,60.0,Apartment,,Bengaluru,
Bhuvaneshwari Nagar,3 Bedroom,440.0,3.0,50.0,Apartment,,Bengaluru,
Harlur,4 Bedroom,3385.0,4.0,260.0,Apartment,,Bengaluru,
Panathur,3 BHK,1370.0,2.0,75.0,Apartment,,Bengaluru,
Whitefield,3 Bedroom,1500.0,3.0,71.8,Apartment,,Bengaluru,
Pulikeshi Nagar,3 BHK,2280.0,3.0,285.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1100.0,3.0,53.0,Apartment,,Bengaluru,
Hoodi,2 BHK,1247.0,2.0,53.0,Apartment,,Bengaluru,
Domlur Layout,3 BHK,2000.0,3.0,200.0,Apartment,,Bengaluru,
Balagere,2 BHK,1020.07,2.0,68.38,Apartment,,Bengaluru,
Gunjur Palya,3 BHK,1033.0,2.0,32.0,Apartment,,Bengaluru,
B Narayanapura,3 BHK,1460.0,2.0,73.0,Apartment,,Bengaluru,
Garudachar Palya,2 BHK,1150.0,2.0,52.8,Apartment,,Bengaluru,
Sarjapur  Road,5 BHK,5965.0,5.0,385.0,Apartment,,Bengaluru,
Babusapalaya,2 BHK,1141.0,2.0,46.0,Apartment,,Bengaluru,
Yelahanka,4 BHK,28063019.0,6.0,125.5,Apartment,,Bengaluru,
Doddaballapur,4 Bedroom,4200.0,4.0,325.0,Apartment,,Bengaluru,
Hosa Road,3 BHK,1665.0,2.0,125.0,Apartment,,Bengaluru,
Kanakapura,2 BHK,1295.0,2.0,64.0,Apartment,,Bengaluru,
Haralur Road,2 BHK,1230.0,2.0,78.0,Apartment,,Bengaluru,
Anand Nagar,3 BHK,1080.0,2.0,75.0,Apartment,,Bengaluru,
Kaggalipura,2 BHK,1000.0,2.0,60.0,Apartment,,Bengaluru,
Kaval Byrasandra,3 BHK,2400.0,2.0,50.0,Apartment,,Bengaluru,
Whitefield,1 BHK,613648.0,1.0,32.79,Apartment,,Bengaluru,
Rayasandra,3 BHK,1708.0,3.0,75.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,1697.0,3.0,115.0,Apartment,,Bengaluru,
Whitefield,4 BHK,3537.0,5.0,210.0,Apartment,,Bengaluru,
Hosa Road,1 BHK,615.0,1.0,28.29,Apartment,,Bengaluru,
Banashankari,3 BHK,1350.0,2.0,83.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,14301630.0,,66.4,Apartment,,Bengaluru,
Jalahalli,2 BHK,1083.0,2.0,32.49,Apartment,,Bengaluru,
Gottigere,3 BHK,1460.0,2.0,65.0,Apartment,,Bengaluru,
Babusapalaya,2 BHK,1084.0,2.0,58.0,Apartment,,Bengaluru,
Bommasandra,2 BHK,1035.0,2.0,41.43,Apartment,,Bengaluru,
Vijaya Bank Layout,3 BHK,2400.0,2.0,150.0,Apartment,,Bengaluru,
Hosur Road,1 BHK,460.0,1.0,21.0,Apartment,,Bengaluru,
Narayanappa Layout,5 BHK,950.0,5.0,90.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1285.0,2.0,55.9,Apartment,,Bengaluru,
1Hanuman Nagar,19 BHK,2000.0,16.0,490.0,Apartment,,Bengaluru,
Sarjapur,3 Bedroom,1200.0,3.0,78.0,Apartment,,Bengaluru,
Raghuvanahalli,2 BHK,1070.0,2.0,35.0,Apartment,,Bengaluru,
Hegde Nagar,3 BHK,1801.0,3.0,140.0,Apartment,,Bengaluru,
Whitefield,3 BHK,1697.0,3.0,115.0,Apartment,,Bengaluru,
AECS Layout,2 BHK,1199.0,2.0,65.0,Apartment,,Bengaluru,
Iblur Village,3 BHK,2300.0,3.0,220.0,Apartment,,Bengaluru,
Mysore Road,3 BHK,1340.0,2.0,64.31,Apartment,,Bengaluru,
Marathahalli,4 BHK,3800.0,4.0,205.0,Apartment,,Bengaluru,
Jigani,5 Bedroom,600.0,5.0,50.0,Apartment,,Bengaluru,
Wilson Garden,2 BHK,1125.0,2.0,75.0,Apartment,,Bengaluru,
Anandapura,2 Bedroom,1200.0,2.0,67.0,Apartment,,Bengaluru,
Subramanyapura,2 BHK,1050.0,2.0,41.0,Apartment,,Bengaluru,
Nagarbhavi,2 BHK,956.0,2.0,49.0,Apartment,,Bengaluru,
Sarjapur,2 BHK,1000.0,2.0,30.0,Apartment,,Bengaluru,
Dooravani Nagar,3 BHK,1596.0,3.0,95.0,Apartment,,Bengaluru,
Kumbhena Agrahara,6 Bedroom,1200.0,5.0,150.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,1296.0,2.0,89.06,Apartment,,Bengaluru,
NS Palya,6 Bedroom,1200.0,7.0,170.0,Apartment,,Bengaluru,
Challaghatta,3 BHK,1639.0,3.0,123.0,Apartment,,Bengaluru,
Electronic City Phase II,2 BHK,1219.0,2.0,61.25,Apartment,,Bengaluru,
Uttarahalli,3 BHK,1200.0,3.0,50.0,Apartment,,Bengaluru,
Bannerghatta Road,2 BHK,1218.0,2.0,73.0,Apartment,,Bengaluru,
Nyanappana Halli,2 BHK,920.0,2.0,37.0,Apartment,,Bengaluru,
Yeshwanthpur,3 BHK,2559.0,3.0,141.0,Apartment,,Bengaluru,
2nd Phase Judicial Layout,1 BHK,525.0,1.0,26.0,Apartment,,Bengaluru,
Bannerghatta Road,3 BHK,1427.0,2.0,48.51,Apartment,,Bengaluru,
Kothannur,3 BHK,1270.0,3.0,45.0,Apartment,,Bengaluru,
Ramagondanahalli,2 BHK,920.0,2.0,65.0,Apartment,,Bengaluru,
Dommasandra,4 Bedroom,2700.0,3.0,68.0,Apartment,,Bengaluru,
Indira Nagar 3rd Stage,3 BHK,1740.0,3.0,199.0,Apartment,,Bengaluru,
Ramamurthy Nagar,3 BHK,1355.0,2.0,40.0,Apartment,,Bengaluru,
Lingadheeranahalli,3 BHK,1530.0,2.0,90.0,Apartment,,Bengaluru,
Gokula Extension,3 BHK,1372.0,2.0,90.0,Apartment,,Bengaluru,
Nehru Nagar,4 BHK,2363.0,5.0,120.0,Apartment,,Bengaluru,
Marathahalli,4 BHK,3895.0,4.0,220.0,Apartment,,Bengaluru,
Jakkur,3 BHK,1950.0,3.0,131.0,Apartment,,Bengaluru,
Hoysalanagar,2 BHK,885.0,2.0,40.0,Apartment,,Bengaluru,
Yelahanka,2 BHK,600.0,2.0,27.0,Apartment,,Bengaluru,
Kumaraswami Layout,5 Bedroom,1270.0,4.0,128.0,Apartment,,Bengaluru,
Vijayanagar,2 Bedroom,1380.0,2.0,225.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,1339.0,2.0,62.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1130.0,2.0,36.0,Apartment,,Bengaluru,
Uttarahalli,2 BHK,1085.0,2.0,43.0,Apartment,,Bengaluru,
Yeshwanthpur,3 BHK,1430.0,3.0,72.0,Apartment,,Bengaluru,
Bhoganhalli,4 BHK,1451.5,4.0,121.0,Apartment,,Bengaluru,
Ramakrishnappa Layout,5 BHK,6200.0,5.0,720.0,Apartment,,Bengaluru,
AGS Layout,3 BHK,1490.0,2.0,59.6,Apartment,,Bengaluru,
Vishwanatha Nagenahalli,4 BHK,1650.0,4.0,99.0,Apartment,,Bengaluru,
Bellandur,2 BHK,1286.0,2.0,57.0,Apartment,,Bengaluru,
KR Garden,2 BHK,925.0,2.0,63.0,Apartment,,Bengaluru,
Bellandur,4 BHK,3016.0,4.0,230.0,Apartment,,Bengaluru,
Haralur Road,2 BHK,1000.0,2.0,44.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1215.0,2.0,39.0,Apartment,,Bengaluru,
